"DEPARTMENT_ID","DEPARTMENT_DESCRIPTION","CLASS_ID","CLASS_DESCRIPTION","SUBCLASS_ID","SUBCLASS_DESCRIPTION","MANUFACTURER","BRAND","MODELLINE","MANUFACTURER_SKU","RETAILER_SKU","SIZE","RETAIL_LIST_PRICE","STORE_NUMBER","STORE_NAME","STORE_ADDRESS","STORE_CITY","STORE_STATE","STORE_ZIP_CODE","END_OF_FISCAL_WEEK_DATE","TOTAL_UNITS_SOLD","TOTAL_DOLLARS_SOLD","VIN"
"4","Retread","416","Medium Truck - Cap Only","1304","All Position","MRT","XZA","11R22.5~MRT~XZA","66077","11225MRT66077","11R22.5","0","14","Warrendale 14","919 Brush Creek Rd.","Warrendale","PA","15086","11-30-2019","4","586.92",""
"4","Retread","416","Medium Truck - Cap Only","1304","All Position","MRT","XZA","11R22.5~MRT~XZA","66077","11225MRT66077","11R22.5","0","14","Warrendale 14","919 Brush Creek Rd.","Warrendale","PA","15086","11-30-2019","12","1760.76",""
"-2","Local Labor","-34","Commercial Truck Service","-245","Tire Repair","Service","Tire Repair","DISMOUNT & MOUNT LT TRUCK/SM IND","DMMS","DMMS","","0","5","Truck Stop 05","2210 Bolivar Road S.W.","Canton","OH","44706","11-30-2019","4","40","1FTBW2CG2JKB22148"
"-2","Local Labor","-276","Retail Mechanical","-407","Tire Service ","Mechanical","Tire Enhancement Dollars","COMPUTER SPIN BALANCE","SB","SB","","0","5","Truck Stop 05","2210 Bolivar Road S.W.","Canton","OH","44706","11-30-2019","4","60","1FTRF3B69FEB59541"
"-2","Local Labor","-276","Retail Mechanical","-407","Tire Service ","Mechanical","Tire Enhancement Dollars","COMPUTER SPIN BALANCE","SB","SB","","0","5","Truck Stop 05","2210 Bolivar Road S.W.","Canton","OH","44706","11-30-2019","4","60","1FTRF3B69FEB59541"
"-2","Local Labor","-276","Retail Mechanical","-407","Tire Service ","Mechanical","Tire Enhancement Dollars","COMPUTER SPIN BALANCE","SB","SB","","0","5","Truck Stop 05","2210 Bolivar Road S.W.","Canton","OH","44706","11-30-2019","1","5",""
"-2","Local Labor","-276","Retail Mechanical","-407","Tire Service ","Mechanical","Tire Enhancement Dollars","COMPUTER SPIN BALANCE","SB","SB","","0","14","Warrendale 14","919 Brush Creek Rd.","Warrendale","PA","15086","11-30-2019","1","34.5","FSGD1537 "
"0","Tire","29","Tubes","120","Light Truck","Firestone","TUBES LIGHT TRUCK RADIAL IMP","10R16.5/12R16.5LT~FIR~TUBES LIGHT TRUCK RADIAL IMP~   TR15CW","552399","1016512165FIR552399","10R16.5/12R16.5LT","0","6","Youngstown 06","1014 Poland Avenue","Youngstown","OH","44502","11-30-2019","1","19.06",""
"0","Tire","25","Light Truck","99","All Terrain","Firestone","Transforce AT II","LT245/75R17~FIR~Transforce AT II~E / 10 OWL 121R TL","000184","2457517FIR000184","LT245/75R17","0","5","Truck Stop 05","2210 Bolivar Road S.W.","Canton","OH","44706","11-30-2019","6","777.84",""
"0","Tire","38","Light Truck","160","Commercial","Goodyear","G622 RSD","245/70R19.5~GOO~G622 RSD~G/14 BW 133L TL","139913205","24570195GOO139913205","245/70R19.5","0","46","Mahone Commercial 46","152 19th St.","Parkersburg","WV","26101","11-30-2019","4","1187.52",""
"0","Tire","59","Light Truck","259","All Terrain","Michelin","LTX A/T2","LT245/75R17~MIC~LTX A/T2~E / 10 ROWL 121/118R TL","33918","2457517MIC33918","0","0","5","Truck Stop 05","2210 Bolivar Road S.W.","Canton","OH","44706","11-30-2019","1","229",""
"0","Tire","51","Light Truck","517","SUV","Mastercraft","Courser AXT2","265/70R17~MAS~Courser AXT2~SL OWL 115T TL","90000037397","2657017MAS90000037397","265/70R17","0","45","Mahone Retail 45","1615 14th St. ","Parkersburg","WV","26101","11-30-2019","2","372","1GTN2TEA7CZ159231"
"-2","Local Labor","-34","Commercial Truck Service","-245","Tire Repair","Service","Tire Repair","DISMT & MT LG TRK","DMM","DMM","","0","46","Mahone Commercial 46","152 19th St.","Parkersburg","WV","26101","11-30-2019","4","64.6",""
"-2","Local Labor","-34","Commercial Truck Service","-245","Tire Repair","Service","Tire Repair","DISMT & MT LG TRK","DMM","DMM","","0","46","Mahone Commercial 46","152 19th St.","Parkersburg","WV","26101","11-30-2019","2","38",""
"-2","Local Labor","-34","Commercial Truck Service","-245","Tire Repair","Service","Tire Repair","DISMT & MT LG TRK","DMM","DMM","","0","46","Mahone Commercial 46","152 19th St.","Parkersburg","WV","26101","11-30-2019","2","38",""
"-2","Local Labor","-34","Commercial Truck Service","-245","Tire Repair","Service","Tire Repair","DISMT & MT LG TRK","DMM","DMM","","0","46","Mahone Commercial 46","152 19th St.","Parkersburg","WV","26101","11-30-2019","2","74.1",""
"-2","Local Labor","-34","Commercial Truck Service","-245","Tire Repair","Service","Tire Repair","DISMT & MT LG TRK","DMM","DMM","","0","15","Troy 15","655 Olympic Dr.","Troy","OH","45373","11-30-2019","12","58.2",""
