"DEPARTMENT_ID","DEPARTMENT_DESCRIPTION","CLASS_ID","CLASS_DESCRIPTION","SUBCLASS_ID","SUBCLASS_DESCRIPTION","MANUFACTURER","BRAND","MODELLINE","MANUFACTURER_SKU","RETAILER_SKU","SIZE","RETAIL_LIST_PRICE","STORE_NUMBER","STORE_NAME","STORE_ADDRESS","STORE_CITY","STORE_STATE","STORE_ZIP_CODE","END_OF_FISCAL_WEEK_DATE","TOTAL_UNITS_SOLD","TOTAL_DOLLARS_SOLD","VIN"
"10","Valve Stem","-104","Passenger Valves","-193","PA Valves","Valves","PA Valves","VALVE ASSEMBLY                     ","VS","VS","","0","15","Troy 15","655 Olympic Dr.","Troy","OH","45373","11-30-2019","1","4.5",""
"10","Valve Stem","-104","Passenger Valves","-193","PA Valves","Valves","PA Valves","VALVE ASSEMBLY                     ","VS","VS","","0","21","Ziegler/Morgan Tire 21","960 Nandino Blvd","Lexington","KY","40511","11-30-2019","2","7","1FDSX35Y88ED99335"
"10","Valve Stem","-104","Passenger Valves","-193","PA Valves","Valves","PA Valves","VALVE ASSEMBLY                     ","VS","VS","","0","51","Akron 51","547 Wolf Ledges Parkway","Akron","OH","44311","11-30-2019","3","6",""
"10","Valve Stem","-104","Passenger Valves","-193","PA Valves","Valves","PA Valves","VALVE ASSEMBLY                     ","VS","VS","","0","81","Toledo 81","30559 Lemoyne Road","Walbridge","OH","43465","11-30-2019","1","5.34",""
"-5","Accessories","-43","Comment","-106","Comment","Comment","Comment","Not responsible for undercarriage shielding and associated parts and fasteners when accessing underhood components when servicing vehicle","SKIDP","SKIDP","","0","51","Akron 51","547 Wolf Ledges Parkway","Akron","OH","44311","11-30-2019","1","0","1FDSF34L42EC88961"
"0","Tire","39","Medium Truck","165","All Position","Goodyear","Endurance RSA","12R22.5~GOO~Endurance RSA ~H / 16 BW  TL","138783674","12225GOO138783674","12R22.5","0","46","Mahone Commercial 46","152 19th St.","Parkersburg","WV","26101","11-30-2019","2","1158.46",""
"0","Tire","19","Medium Truck","69","Drive","Bridgestone","M710 Ecopia","295/75R22.5~BRI~M710 Ecopia~G/14 BW  TL","233466","29575225BRI233466","295/75R22.5","0","5","Truck Stop 05","2210 Bolivar Road S.W.","Canton","OH","44706","11-30-2019","1","577.4",""
"16","Stock Retread","-13","Medium Truck - Cap & Casing","-44","Drive","MRT","XDS2","11R24.5 MICH PXDS2 RET A           ","94906A","11245MRT94906A         ","0","0","14","Warrendale 14","919 Brush Creek Rd.","Warrendale","PA","15086","11-30-2019","8","1554.64",""
"0","Tire","22","Light Truck","84","Mud Terrain","BF Goodrich","KM3","LT265/70R17~BFG~KM3~E/10 RBL 118Q TL","32095","2657017BFG32095","LT265/70R17","0","14","Warrendale 14","919 Brush Creek Rd.","Warrendale","PA","15086","11-30-2019","4","868",""
"0","Tire","273","Medium Truck","1182","Drive","Sumitomo","ST 909","225//70R19.5~SUM~ST909~OSD G/14 TL","5533082","22570195SUM5533082","0","0","46","Mahone Commercial 46","152 19th St.","Parkersburg","WV","26101","11-30-2019","4","1000",""
